Uth'la (Silverhoof)
Uth'er (Blackhoof)
Ket'luth (Swiftwind)
Bak'lur (Whitehart)
El'ktha (Strongback)
El'lur (Whiteback)
Ke'neldt (Starfire)
Ke'lur (Whitefire)
Ke'la (Silverfire)
Ke'er (Blackfire)
Ket'er (Blackwind)
Nedlt'er (Blackstar)
Neldt'lur (Whitestar)
Neldt'la (Silverstar)
Bak'ktha (Stronghart)
Ke'quith (Goldfire)
Neldt'quith (Goldstar)
Ket'quith (Goldwind)
Uth'quith (Goldhoof)
Id'quith (Goldeye)
Id'lur (White-eye)
Id'la (Silver-eye)
Id'neldt (Star-eye)
Id'ke (Fire-eye)
Id'er (Black-eye)
Thell'luth (Swiftchaser)
Thell'ket (Windchaser)
Thell'neldt (Starchaser)
Thell'ke (Firechaser)
Ke'quith (Goldfire)
Neldt'quith (Goldstar)
Ket'quith (Goldwind)
Uth'quith (Goldhoof)
Id'quith (Goldeye)
Id'lur (White-eye)
Id'la (Silver-eye)
Id'neldt (Star-eye)
Id'ke (Fire-eye)
Id'er (Black-eye)
Thell'luth (Swiftchaser)
Thell'ket (Windchaser)
Thell'neldt (Starchaser)
Thell'ke (Firechaser)
Uth'ktha (Stronghoof)
Ket'ktha (Strongwind)
Bak'ktha (Stronghart)
El'ktha (Strongback)
Neldt'ktha (Strongstar)
Ke'ktha (Strongfire)
Quith'ktha (Stronggold)
Thell'ktha (Strongchaser)
Id'ktha (Strongeye)
Uth'get (Sharphoof)
Ket'get (Sharpwind)
Neldt'get (Sharpstar)
Ke'get (Sharpfire)
Id'get (Sharpeye)
La'lur (Whitesilver)
